,user_address,0x4200000000000000000000000000000000000006,0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,0x2ae3f1ec7f1f5012cfeab0185bfc7aa3cf0dec22,0x50c5725949a6f0c72e6c4a641f24049a917db0cb,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xb6fe221fe9eef5aba221c348ba20a1bf5e73624c,CR,log10_borrow
476,0x6c51d544C1AC203148484b35E8d0e741cFB67DcE,1.0,0.0,0.0,0.0,0.0,0.0,1.535510790066832,4.78932002967436
488,0xC25d79fc4970479B88068Ce8891eD9bE5799210D,0.0,1.0,0.0,0.0,0.0,0.0,1.4436831612485368,1.8809615383755625
531,0x62b08A2F1C0F4E4F4ce942Ab616825D876414f04,1.0,0.0,0.0,0.0,0.0,0.0,1.2464911962821978,2.571406953767762
581,0x17eB245F522c05119ec6924Bdf1ca75226Be8007,1.0,0.0,0.0,0.0,0.0,0.0,1.4931089449309,1.3728825930790851
630,0x213208bEFdf8462Be5788f7b617C0CFdf0C92Bee,1.0,0.0,0.0,0.0,0.0,0.0,1.4932952472695251,2.1209832095186947
713,0xB03E256B53abACd3f0b450263C32c6ec81bABe49,0.0,0.0,1.0,0.0,0.0,0.0,1.4495853977755797,5.254715169958587
714,0xd67883669EfB5c575063DE333ecC93F2147AD2D2,0.0,0.0,1.0,0.0,0.0,0.0,1.4507082119447534,4.899507994475997
719,0x11f1E5a47Bc2E00cb2bd2426d38EDB7e86dbcecF,0.0,0.0,1.0,0.0,0.0,0.0,1.4053382268396786,1.480593894516204
955,0xc6B10818767a5205DBfB5F550Ea986a9f9A0c941,0.0,0.0,1.0,0.0,0.0,0.0,1.4499405626566235,5.743303224729735
971,0xEB4B2D625D4f50f4aFaf4CE4E6C5A04231f6CD44,0.8213303646610753,0.0,0.0,0.1786696353389247,0.0,0.0,1.4711069365491845,1.3722826579648184
973,0x165e851Fb826bC6D834Aa5C6AAeFC78aBef168b5,0.0,0.0,1.0,0.0,0.0,0.0,1.4501762151345536,5.267261584950209
1000,0xA770d4A353293385C0eDB30ad9519a1997b471a3,0.2863840631991712,0.0,0.0,0.0,0.7136159368008288,0.0,2.414262322614138,1.0623490751205835
1010,0xb9367bF71487eb10A68c3179753b9E1BA8871c8f,0.0,0.0,0.0,1.0,0.0,0.0,6.084360507401814,2.1810651666347725
1013,0xc3b0F0ba4F1b28409De3D20205fA7970bB652b97,0.0,0.0,1.0,0.0,0.0,0.0,1.4494675542438331,5.230990680332393
1042,0xB1a84aBDD50F8418aF208438db9ec33CF3c35FfB,0.0,0.0,1.0,0.0,0.0,0.0,1.4495474047818218,5.174293534501
1045,0x9A69a6008a02C770F0e55ccF1671A8A687b6700a,0.5895119236386194,0.0,0.0,0.4104880763613807,0.0,0.0,1.453753179896532,1.1501739693917885
1073,0xDBaad6C9bA84dEbBb5802110e3fbE218b3808751,1.0,0.0,0.0,0.0,0.0,0.0,1.4237126867802277,1.2170711706756252
1095,0xc9A9bCa811B3cAf6Ea5B17039fAc9f4CEA7bfB7C,0.2149247472391942,0.0,0.2791351149526794,0.0,0.0,0.5059401378081264,1.3795498361365346,2.8365487037169976
1155,0x14B93f1E547da3CfbDaC6f87c51A9AeB2601D6fC,1.0,0.0,0.0,0.0,0.0,0.0,1.4709967583263577,0.0389488756815059
1162,0x7F0759cb20dE8c7a996dB6f6C12b33314d0379C3,0.0,0.0,1.0,0.0,0.0,0.0,1.3250300864394948,3.4787768378215844
1163,0x04D5C4A28b0763Ed16d85ad09e8f2eEfB18c9D4c,0.0,0.0,0.5,0.0,0.0,0.5,1.415917408925916,2.306177441617103
1164,0xaA8AFe5B01b15e73051Cb871c332303b57C96F38,0.0,0.0,0.0,0.0,0.0,1.0,1.53033770441022,1.990019500915716
1170,0x522666698937c160D48Fe0bC653F956922ba9F5F,1.0,0.0,0.0,0.0,0.0,0.0,1.3002795433756866,1.6085126426524696
1220,0x65Ec96E3841F48934a3C8A9648AF44BCd1c73CE1,1.0,0.0,0.0,0.0,0.0,0.0,6.996845629233119,1.0694091113200024
1222,0xcDdc66c85008853b89c0b00C20a303A8d69e8983,0.0,0.0,1.0,0.0,0.0,0.0,1.4501984770821246,5.484911690786585
1223,0xa1e826ff30c2Af1ca2BB1CB3b2D4770d679451d3,0.0,0.0,1.0,0.0,0.0,0.0,1.4495862271770226,5.122203358062769
1224,0x9C0B7893998CF4914d14F9D709eD855201f54049,0.0,0.0,1.0,0.0,0.0,0.0,2.506565912327557,4.602111790348741
1234,0x88FA8b9B9c553e3c0a3eAFDacf683cCC60973332,1.0,0.0,0.0,0.0,0.0,0.0,1.6618538951148127,1.1496667587038387
1241,0xB2dda6B0e7c460028dC2380AfBBAf5aa601DCEd0,0.0,0.0,1.0,0.0,0.0,0.0,1.446857952243414,5.643970713608367
1242,0x3B87f7D473550ef9e53e46Baae856608f8b8A0C4,0.0,0.0,1.0,0.0,0.0,0.0,1.388841508141086,5.37662716676261
1264,0xE8035850ADb9788a5d85fa13f721A277668e95eE,1.0,0.0,0.0,0.0,0.0,0.0,1.3035367030252976,1.9773959756727983
1273,0x7A89B88C7D6Cd5a591812DA64112786e2633E76E,0.0,0.0,1.0,0.0,0.0,0.0,1.449480184112694,5.200064813039653
1275,0xc1D7f724c21a098319De00459bEa8F11F587C624,0.0,0.0,0.0,0.0,0.0,1.0,1.4480728813731414,5.3699375109641965
1282,0x465c1C79214Ab5d6A8b955c1Fb266d512b372a6d,1.0,0.0,0.0,0.0,0.0,0.0,1.3008068379530904,1.7514412113410476
1332,0x2696E8017A422af7ee764Fa598C7AC3B75007FdB,1.0,0.0,0.0,0.0,0.0,0.0,1.2658049516483951,4.876343780167612
1337,0xe4E52221b702c3d6838B7b569783c1cb408E9839,0.0,1.0,0.0,0.0,0.0,0.0,1.9946255681088016,1.517826353147438
1369,0x3242bCaE0B6f44a2430766376722849DeA557b8B,0.0,0.0,1.0,0.0,0.0,0.0,1.449500464366588,5.143875818218977
1378,0x9A887658254e6c9dCB213745bdD9332A1AF773eB,1.0,0.0,0.0,0.0,0.0,0.0,1.399532966255046,5.687202915416434
1415,0xe7FFc0fFbB76aB7e2F322D3776A5220810D2667B,1.0,0.0,0.0,0.0,0.0,0.0,1.3866037820135502,1.6170976611029764
1470,0x4e12d870e0e841577a1d6ea08898b44cB1D0681C,1.0,0.0,0.0,0.0,0.0,0.0,1.4125931129921403,1.674579647105675
1487,0x11CA1f765CBf7c1d26b0Aa3e2e24D9B1E0B47c5b,1.0,0.0,0.0,0.0,0.0,0.0,1.361894413139258,5.546631378428815
