timestamp,wstETH,WBTC,WETH,sfrxETH,tBTC
1733407937,0,0,0,0,0
1733407938,150000000,200000000,200000000,50000000,50000000
1734091200,250000000,42500000,250000000,22500000,20000000
1734880200,45000000,45000000,250000000,22500000,20000000
